Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258797
Error,901
Error Relativo (%),0.35
Peor Costo,259476
Costo Promedio,259161
Desviacion Estándar Costo,207.7529
Tiempo Promedio de Ejecucion (s),0.115894
Desviacion Porcentual (%),0.262368
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,5
