Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258993
Error,1097
Error Relativo (%),0.43
Peor Costo,259429
Costo Promedio,259150
Desviacion Estándar Costo,138.6050
Tiempo Promedio de Ejecucion (s),0.079609
Desviacion Porcentual (%),0.168344
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,0
