Métrica,Valor
Costo Objetivo,257896
Mejor Costo,257971
Error,75
Error Relativo,0.000291
Peor Costo,258354
Costo Promedio,258130
Desviación Estándar Costo,103.0848
Tiempo Promedio de Ejecución,0.447546s
Mejor Tiempo de Ejecución,0.423447s
Desviación del Tiempo,0.013521 %
Semilla Mejor Costo,2
