Métrica,Valor
Costo Objetivo,23468
Mejor Costo,23468
Peor Costo,23468
Costo Promedio,23468
Desviación Estándar Costo,0.0000
Tiempo Promedio de Ejecución,0.015502s
Mejor Tiempo de Ejecución,0.005069s
Desviación del Tiempo,0.005225
Generación Óptima Promedio,3.89
Generación más Rápida,2
Semilla más Rápida,2
