Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258619
Error,723
Error Relativo (%),0.28
Peor Costo,259161
Costo Promedio,258806
Desviacion Estándar Costo,167.5603
Tiempo Promedio de Ejecucion (s),0.111931
Desviacion Porcentual (%),0.209575
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,7
