Métrica,Valor
Costo Objetivo,257896
Mejor Costo,257971
Error,75
Error Relativo (%),0.03
Peor Costo,258222
Costo Promedio,258098
Desviacion Estándar Costo,85.5570
Tiempo Promedio de Ejecucion (s),0.737140
Desviacion Porcentual (%),0.097298
Generación Óptima Promedio,nan
Generación más Rápida,300
Semilla,2
