Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258649
Error,753
Error Relativo (%),0.29
Peor Costo,259179
Costo Promedio,258949
Desviacion Estándar Costo,180.1512
Tiempo Promedio de Ejecucion (s),0.092471
Desviacion Porcentual (%),0.204911
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
