Métrica,Valor
Costo Objetivo,22119
Mejor Costo,22119
Error,0
Error Relativo,0.000000
Peor Costo,22119
Costo Promedio,22119
Desviacion Estándar Costo,0.0000
Tiempo Promedio de Ejecucion (s),0.038779
Desviacion Porcentual (%),0.000000
Generación Óptima Promedio,108.89
Generación más Rápida,26
Semilla,0
