Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258055
Error,159
Error Relativo (%),0.06
Peor Costo,258505
Costo Promedio,258296
Desviacion Estándar Costo,136.5393
Tiempo Promedio de Ejecucion (s),0.784353
Desviacion Porcentual (%),0.174381
Generación Óptima Promedio,nan
Generación más Rápida,300
Semilla,6
