Métrica,Valor
Costo Objetivo,257964
Mejor Costo,258006
Error,42
Error Relativo,0.000163
Peor Costo,258287
Costo Promedio,258066
Desviación Estándar Costo,82.8928
Tiempo Promedio de Ejecución,7.490247s
Mejor Tiempo de Ejecución,7.316968s
Desviación del Tiempo,0.133297 %
Semilla Mejor Costo,2
