Métrica,Valor
Costo Objetivo,25038
Mejor Costo,25038
Peor Costo,25132
Costo Promedio,25069
Desviación Estándar Costo,44.3120
Tiempo Promedio de Ejecución,1.124873s
Mejor Tiempo de Ejecución,0.006385s
Desviación del Tiempo,1.570826
Generación Óptima Promedio,3.33
Generación más Rápida,3
Semilla más Rápida,2
