Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258792
Error,896
Error Relativo (%),0.35
Peor Costo,259245
Costo Promedio,259086
Desviacion Estándar Costo,151.9408
Tiempo Promedio de Ejecucion (s),0.088377
Desviacion Porcentual (%),0.175044
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
