Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258584
Error,688
Error Relativo,0.002668
Peor Costo,259279
Costo Promedio,259021
Desviación Estándar Costo,203.0074
Tiempo Promedio de Ejecución,0.069736s
Mejor Tiempo de Ejecución,0.059816s
Desviación del Tiempo,0.006987 %
Semilla Mejor Costo,17
