Métrica,Valor
Costo Objetivo,22119
Mejor Costo,22119
Peor Costo,22119
Costo Promedio,22119
Desviación Estándar Costo,0.0000
Tiempo Promedio de Ejecución,0.024746s
Mejor Tiempo de Ejecución,0.003007s
Desviación del Tiempo,0.017073
Generación Óptima Promedio,16.22
Generación más Rápida,4
Semilla más Rápida,2
