Métrica,Valor
Costo Objetivo,257896
Mejor Costo,259764
Error,1868
Error Relativo (%),0.72
Peor Costo,260458
Costo Promedio,260162
Desviacion Estándar Costo,231.9696
Tiempo Promedio de Ejecucion (s),0.098639
Desviacion Porcentual (%),0.267166
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
