Métrica,Valor
Costo Objetivo,257896
Mejor Costo,259764
Error,1868
Error Relativo,0.007243
Peor Costo,260380
Costo Promedio,260148
Desviación Estándar Costo,184.5008
Tiempo Promedio de Ejecución,0.065511s
Mejor Tiempo de Ejecución,0.061087s
Desviación del Tiempo,0.002343 %
Semilla Mejor Costo,3
