Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258479
Error,583
Error Relativo (%),0.23
Peor Costo,259132
Costo Promedio,258817
Desviacion Estándar Costo,230.6030
Tiempo Promedio de Ejecucion (s),0.100332
Desviacion Porcentual (%),0.252632
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,7
