Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258021
Error,125
Error Relativo (%),0.05
Peor Costo,258170
Costo Promedio,258100
Desviacion Estándar Costo,48.5725
Tiempo Promedio de Ejecucion (s),0.709066
Desviacion Porcentual (%),0.057747
Generación Óptima Promedio,nan
Generación más Rápida,300
Semilla,7
