Métrica,Valor
Costo Objetivo,257964
Mejor Costo,257968
Error,4
Error Relativo,0.000016
Peor Costo,258150
Costo Promedio,258072
Desviación Estándar Costo,53.4113
Tiempo Promedio de Ejecución,22.010208s
Mejor Tiempo de Ejecución,21.715303s
Desviación del Tiempo,0.144123 %
Semilla Mejor Costo,3
