Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258559
Error,663
Error Relativo (%),0.26
Peor Costo,258941
Costo Promedio,258728
Desviacion Estándar Costo,145.0839
Tiempo Promedio de Ejecucion (s),0.120884
Desviacion Porcentual (%),0.147742
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,5
