Métrica,Valor
Mejor Costo,23468.00
Peor Costo,23932.00
Costo Promedio,23499.87
Desviacion Estandar Costo,116.21
Tiempo Promedio de Ejecucion (s),0.06
Desviacion Porcentual (%),1.98
