Métrica,Valor
Mejor Costo,23468.00
Peor Costo,23932.00
Costo Promedio,23573.85
Desviacion Estandar Costo,193.72
Tiempo Promedio de Ejecucion (s),0.05
Desviacion Porcentual (%),1.98
