Métrica,Valor
Costo Objetivo,257626
Mejor Costo,257626
Peor Costo,257979
Costo Promedio,257793
Desviación Estándar Costo,103.6041
Tiempo Promedio de Ejecución,2.269799s
Mejor Tiempo de Ejecución,1.957390s
Desviación del Tiempo,0.113119
Generación Óptima Promedio,848.00
Generación más Rápida,848
Semilla más Rápida,2
