Métrica,Valor
Mejor Costo,23468.00
Peor Costo,24127.00
Costo Promedio,23634.88
Desviacion Estandar Costo,224.92
Tiempo Promedio de Ejecucion (s),0.07
Desviacion Porcentual (%),2.81
