Métrica,Valor
Costo Objetivo,257964
Mejor Costo,258005
Error,41
Error Relativo,0.000159
Peor Costo,258249
Costo Promedio,258125
Desviación Estándar Costo,80.9373
Tiempo Promedio de Ejecución,2.301218s
Mejor Tiempo de Ejecución,2.267324s
Desviación del Tiempo,0.021378 %
Semilla Mejor Costo,2
