Métrica,Valor
Mejor Costo,259115.00
Peor Costo,260066.00
Costo Promedio,259639.67
Desviacion Estandar Costo,304.74
Tiempo Promedio de Ejecucion (s),1.09
Desviacion Porcentual (%),0.37
