Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258670
Error,774
Error Relativo,0.003001
Peor Costo,259198
Costo Promedio,258945
Desviación Estándar Costo,153.4802
Tiempo Promedio de Ejecución,0.063998s
Mejor Tiempo de Ejecución,0.059544s
Desviación del Tiempo,0.003086 %
Semilla Mejor Costo,3
