Métrica,Valor
Costo Objetivo,21864
Mejor Costo,21864
Peor Costo,21864
Costo Promedio,21864
Desviación Estándar Costo,0.0000
Tiempo Promedio de Ejecución,0.061692s
Mejor Tiempo de Ejecución,0.031673s
Desviación del Tiempo,0.021452
Generación Óptima Promedio,4.44
Generación más Rápida,2
Semilla más Rápida,2
