Métrica,Valor
Costo Objetivo,257626
Mejor Costo,257631
Error,5
Error Relativo,0.000019
Peor Costo,257952
Costo Promedio,257795
Desviación Estándar Costo,92.4010
Tiempo Promedio de Ejecución,4.749347s
Mejor Tiempo de Ejecución,4.673449s
Desviación del Tiempo,0.032644 %
Semilla Mejor Costo,23
