Métrica,Valor
Mejor Costo,23468.00
Peor Costo,23932.00
Costo Promedio,23554.16
Desviacion Estandar Costo,177.96
Tiempo Promedio de Ejecucion (s),0.07
Desviacion Porcentual (%),1.98
