Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258761
Error,865
Error Relativo (%),0.34
Peor Costo,259195
Costo Promedio,259055
Desviacion Estándar Costo,131.3095
Tiempo Promedio de Ejecucion (s),0.095976
Desviacion Porcentual (%),0.167722
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,2
