Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258413
Error,517
Error Relativo,0.002005
Peor Costo,258803
Costo Promedio,258616
Desviación Estándar Costo,138.2462
Tiempo Promedio de Ejecución,0.076893s
Mejor Tiempo de Ejecución,0.065929s
Desviación del Tiempo,0.006165 %
Semilla Mejor Costo,3
