Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258413
Error,517
Error Relativo (%),0.20
Peor Costo,258905
Costo Promedio,258680
Desviacion Estándar Costo,133.3709
Tiempo Promedio de Ejecucion (s),0.113291
Desviacion Porcentual (%),0.190393
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
