Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258146
Error,250
Error Relativo,0.000969
Peor Costo,258516
Costo Promedio,258350
Desviación Estándar Costo,130.1149
Tiempo Promedio de Ejecución,0.172648s
Mejor Tiempo de Ejecución,0.160309s
Desviación del Tiempo,0.009941 %
Semilla Mejor Costo,3
