Métrica,Valor
Costo Objetivo,22119
Mejor Costo,22119
Error,0
Error Relativo,0.000000
Peor Costo,22119
Costo Promedio,22119
Desviacion Estándar Costo,0.0000
Tiempo Promedio de Ejecucion (s),0.033786
Desviacion Porcentual (%),0.000000
Generación Óptima Promedio,4.78
Generación más Rápida,5
Semilla,0
