Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258782
Error,886
Error Relativo,0.003435
Peor Costo,259228
Costo Promedio,259083
Desviación Estándar Costo,123.7587
Tiempo Promedio de Ejecución,0.055451s
Mejor Tiempo de Ejecución,0.040110s
Desviación del Tiempo,0.008331 %
Semilla Mejor Costo,17
