Métrica,Valor
Mejor Costo,23468.00
Peor Costo,26444.00
Costo Promedio,24237.97
Desviacion Estandar Costo,600.77
Tiempo Promedio de Ejecucion (s),0.06
Desviacion Porcentual (%),12.68
