Métrica,Valor
Costo Objetivo,23468
Mejor Costo,23468
Error,0
Error Relativo,0.000000
Peor Costo,23468
Costo Promedio,23468
Desviacion Estándar Costo,0.0000
Tiempo Promedio de Ejecucion (s),0.046920
Desviacion Porcentual (%),0.000000
Generación Óptima Promedio,121.22
Generación más Rápida,47
Semilla,0
