Métrica,Valor
Costo Objetivo,257896
Mejor Costo,257919
Error,23
Error Relativo,0.000089
Peor Costo,258170
Costo Promedio,258051
Desviación Estándar Costo,90.4963
Tiempo Promedio de Ejecución,7.572587s
Mejor Tiempo de Ejecución,7.346832s
Desviación del Tiempo,0.141176 %
Semilla Mejor Costo,13
