Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258026
Error,130
Error Relativo,0.000504
Peor Costo,258505
Costo Promedio,258286
Desviación Estándar Costo,137.6335
Tiempo Promedio de Ejecución,0.483360s
Mejor Tiempo de Ejecución,0.418956s
Desviación del Tiempo,0.136858 %
Semilla Mejor Costo,13
