Métrica,Valor
Costo Objetivo,257896
Mejor Costo,257976
Error,80
Error Relativo,0.000310
Peor Costo,258205
Costo Promedio,258035
Desviación Estándar Costo,63.3125
Tiempo Promedio de Ejecución,0.476874s
Mejor Tiempo de Ejecución,0.461672s
Desviación del Tiempo,0.010203 %
Semilla Mejor Costo,13
