Métrica,Valor
Mejor Costo,23468.00
Peor Costo,23919.00
Costo Promedio,23472.51
Desviacion Estandar Costo,44.87
Tiempo Promedio de Ejecucion (s),0.12
Desviacion Porcentual (%),1.92
