Métrica,Valor
Mejor Costo,258051.00
Peor Costo,258226.00
Costo Promedio,258132.00
Desviacion Estandar Costo,52.59
Tiempo Promedio de Ejecucion (s),35.54
Desviacion Porcentual (%),0.07
