Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258048
Error,152
Error Relativo (%),0.06
Peor Costo,258237
Costo Promedio,258116
Desviacion Estándar Costo,67.1744
Tiempo Promedio de Ejecucion (s),0.664808
Desviacion Porcentual (%),0.073242
Generación Óptima Promedio,nan
Generación más Rápida,300
Semilla,1
