Métrica,Valor
Mejor Costo,23468.00
Peor Costo,24765.00
Costo Promedio,24116.50
Desviacion Estandar Costo,648.50
Tiempo Promedio de Ejecucion (s),0.04
Desviacion Porcentual (%),5.53
