Métrica,Valor
Mejor Costo,23468.00
Peor Costo,23919.00
Costo Promedio,23499.57
Desviacion Estandar Costo,115.07
Tiempo Promedio de Ejecucion (s),0.07
Desviacion Porcentual (%),1.92
