Métrica,Valor
Costo Objetivo,25038
Mejor Costo,25038
Peor Costo,25132
Costo Promedio,25059
Desviación Estándar Costo,39.0795
Tiempo Promedio de Ejecución,2.961067s
Mejor Tiempo de Ejecución,0.028642s
Desviación del Tiempo,5.467341
Generación Óptima Promedio,2.71
Generación más Rápida,2
Semilla más Rápida,2
