Métrica,Valor
Costo Objetivo,257896
Mejor Costo,257924
Error,28
Error Relativo (%),0.01
Peor Costo,258150
Costo Promedio,258048
Desviacion Estándar Costo,63.5872
Tiempo Promedio de Ejecucion (s),15.866505
Desviacion Porcentual (%),0.087623
Generación Óptima Promedio,nan
Generación más Rápida,1000
Semilla,5
