Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258146
Error,250
Error Relativo (%),0.10
Peor Costo,258492
Costo Promedio,258356
Desviacion Estándar Costo,91.5205
Tiempo Promedio de Ejecucion (s),0.259827
Desviacion Porcentual (%),0.134033
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
