Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258436
Error,540
Error Relativo (%),0.21
Peor Costo,258803
Costo Promedio,258697
Desviacion Estándar Costo,112.7022
Tiempo Promedio de Ejecucion (s),0.134686
Desviacion Porcentual (%),0.142008
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
