Métrica,Valor
Mejor Costo,23468.00
Peor Costo,24127.00
Costo Promedio,23594.87
Desviacion Estandar Costo,216.66
Tiempo Promedio de Ejecucion (s),0.05
Desviacion Porcentual (%),2.81
