Seed 0: Mejor Costo = 259092, Tiempo = 0.06861s, Generación Óptima = None
Seed 1: Mejor Costo = 259188, Tiempo = 0.11631s, Generación Óptima = None
Seed 2: Mejor Costo = 258761, Tiempo = 0.10192s, Generación Óptima = None
Seed 3: Mejor Costo = 259128, Tiempo = 0.13619s, Generación Óptima = None
Seed 4: Mejor Costo = 258981, Tiempo = 0.08745s, Generación Óptima = None
Seed 5: Mejor Costo = 258978, Tiempo = 0.10877s, Generación Óptima = None
Seed 6: Mejor Costo = 259195, Tiempo = 0.09298s, Generación Óptima = None
Seed 7: Mejor Costo = 259161, Tiempo = 0.07838s, Generación Óptima = None
Seed 8: Mejor Costo = 259009, Tiempo = 0.07319s, Generación Óptima = None
