Seed 0: Mejor Costo = 258915, Tiempo = 0.07766s, Generación Óptima = None
Seed 1: Mejor Costo = 259236, Tiempo = 0.08744s, Generación Óptima = None
Seed 2: Mejor Costo = 259173, Tiempo = 0.12582s, Generación Óptima = None
Seed 3: Mejor Costo = 258792, Tiempo = 0.09181s, Generación Óptima = None
Seed 4: Mejor Costo = 259149, Tiempo = 0.06664s, Generación Óptima = None
Seed 5: Mejor Costo = 258954, Tiempo = 0.10671s, Generación Óptima = None
Seed 6: Mejor Costo = 259209, Tiempo = 0.07403s, Generación Óptima = None
Seed 7: Mejor Costo = 259101, Tiempo = 0.08742s, Generación Óptima = None
Seed 8: Mejor Costo = 259245, Tiempo = 0.07788s, Generación Óptima = None
