Seed 0: Mejor Costo = 258793, Tiempo = 0.12047s, Generación Óptima = None
Seed 1: Mejor Costo = 258738, Tiempo = 0.18206s, Generación Óptima = None
Seed 2: Mejor Costo = 258698, Tiempo = 0.14919s, Generación Óptima = None
Seed 3: Mejor Costo = 258436, Tiempo = 0.11627s, Generación Óptima = None
Seed 4: Mejor Costo = 258781, Tiempo = 0.12233s, Generación Óptima = None
Seed 5: Mejor Costo = 258577, Tiempo = 0.11987s, Generación Óptima = None
Seed 6: Mejor Costo = 258699, Tiempo = 0.13789s, Generación Óptima = None
Seed 7: Mejor Costo = 258803, Tiempo = 0.13238s, Generación Óptima = None
Seed 8: Mejor Costo = 258748, Tiempo = 0.13171s, Generación Óptima = None
