Seed 0: Mejor Costo = 258941, Tiempo = 0.12819s, Generación Óptima = None
Seed 1: Mejor Costo = 258891, Tiempo = 0.10650s, Generación Óptima = None
Seed 2: Mejor Costo = 258712, Tiempo = 0.13151s, Generación Óptima = None
Seed 3: Mejor Costo = 258574, Tiempo = 0.09750s, Generación Óptima = None
Seed 4: Mejor Costo = 258862, Tiempo = 0.13290s, Generación Óptima = None
Seed 5: Mejor Costo = 258559, Tiempo = 0.11728s, Generación Óptima = None
Seed 6: Mejor Costo = 258619, Tiempo = 0.18342s, Generación Óptima = None
Seed 7: Mejor Costo = 258824, Tiempo = 0.08886s, Generación Óptima = None
Seed 8: Mejor Costo = 258567, Tiempo = 0.10179s, Generación Óptima = None
