Seed 0: Mejor Costo = 258465, Tiempo = 0.11659s, Generación Óptima = None
Seed 1: Mejor Costo = 258798, Tiempo = 0.11383s, Generación Óptima = None
Seed 2: Mejor Costo = 258510, Tiempo = 0.13227s, Generación Óptima = None
Seed 3: Mejor Costo = 258704, Tiempo = 0.13039s, Generación Óptima = None
Seed 4: Mejor Costo = 258694, Tiempo = 0.11652s, Generación Óptima = None
Seed 5: Mejor Costo = 258514, Tiempo = 0.14748s, Generación Óptima = None
Seed 6: Mejor Costo = 258734, Tiempo = 0.11583s, Generación Óptima = None
Seed 7: Mejor Costo = 258800, Tiempo = 0.14800s, Generación Óptima = None
Seed 8: Mejor Costo = 258865, Tiempo = 0.11873s, Generación Óptima = None
