Seed 0: Mejor Costo = 259090, Tiempo = 0.12263s, Generación Óptima = None
Seed 1: Mejor Costo = 259132, Tiempo = 0.10473s, Generación Óptima = None
Seed 2: Mejor Costo = 258716, Tiempo = 0.08573s, Generación Óptima = None
Seed 3: Mejor Costo = 258573, Tiempo = 0.10033s, Generación Óptima = None
Seed 4: Mejor Costo = 259050, Tiempo = 0.09447s, Generación Óptima = None
Seed 5: Mejor Costo = 258965, Tiempo = 0.10018s, Generación Óptima = None
Seed 6: Mejor Costo = 258713, Tiempo = 0.09075s, Generación Óptima = None
Seed 7: Mejor Costo = 258479, Tiempo = 0.09336s, Generación Óptima = None
Seed 8: Mejor Costo = 258633, Tiempo = 0.10002s, Generación Óptima = None
