Métrica,Valor
Costo Objetivo,257896
Mejor Costo,257936
Error,40
Error Relativo (%),0.02
Peor Costo,258045
Costo Promedio,258009
Desviacion Estándar Costo,32.9335
Tiempo Promedio de Ejecucion (s),0.786133
Desviacion Porcentual (%),0.042259
Generación Óptima Promedio,nan
Generación más Rápida,300
Semilla,1
