Métrica,Valor
Mejor Costo,23468.00
Peor Costo,23897.00
Costo Promedio,23472.29
Desviacion Estandar Costo,42.68
Tiempo Promedio de Ejecucion (s),0.07
Desviacion Porcentual (%),1.83
