Métrica,Valor
Costo Objetivo,257573
Mejor Costo,257573
Peor Costo,257901
Costo Promedio,257743
Desviación Estándar Costo,117.0250
Tiempo Promedio de Ejecución,4.342476s
Mejor Tiempo de Ejecución,1.653932s
Desviación del Tiempo,0.951043
Generación Óptima Promedio,350.00
Generación más Rápida,350
Semilla más Rápida,7
