Métrica,Valor
Mejor Costo,23468.00
Peor Costo,24462.00
Costo Promedio,23748.02
Desviacion Estandar Costo,261.59
Tiempo Promedio de Ejecucion (s),0.08
Desviacion Porcentual (%),4.24
