Métrica,Valor
Costo Objetivo,257896
Mejor Costo,258670
Error,774
Error Relativo (%),0.30
Peor Costo,259267
Costo Promedio,259026
Desviacion Estándar Costo,207.7742
Tiempo Promedio de Ejecucion (s),0.099839
Desviacion Porcentual (%),0.230796
Generación Óptima Promedio,nan
Generación más Rápida,30
Semilla,3
