Seed 0: Mejor Costo = 22119, Tiempo = 0.05028s, Generación Óptima = 3
Seed 1: Mejor Costo = 22119, Tiempo = 0.05457s, Generación Óptima = 4
Seed 2: Mejor Costo = 22119, Tiempo = 0.05591s, Generación Óptima = 3
Seed 3: Mejor Costo = 22119, Tiempo = 0.06355s, Generación Óptima = 4
Seed 4: Mejor Costo = 22119, Tiempo = 0.10288s, Generación Óptima = 5
Seed 5: Mejor Costo = 22119, Tiempo = 0.10195s, Generación Óptima = 4
Seed 6: Mejor Costo = 22119, Tiempo = 0.12981s, Generación Óptima = 6
Seed 7: Mejor Costo = 22119, Tiempo = 0.13899s, Generación Óptima = 5
Seed 8: Mejor Costo = 22119, Tiempo = 0.04858s, Generación Óptima = 3
