Métrica,Valor
Costo Objetivo,23468
Mejor Costo,23468
Peor Costo,23468
Costo Promedio,23468
Desviación Estándar Costo,0.0000
Tiempo Promedio de Ejecución,0.036500s
Mejor Tiempo de Ejecución,0.015956s
Desviación del Tiempo,0.024547
Generación Óptima Promedio,10.22
Generación más Rápida,4
Semilla más Rápida,2
